polish_name;english_name;latin_name;order;family;image
Kwokacz;Common greenshank;Tringa nebularia;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/f/f6/Gr%C3%BCnschenkel_Tringa_nebularia.jpg
Lelek;Eurasian nightjar;Caprimulgus europaeus;Caprimulgiformes;Caprimulgidae;https://upload.wikimedia.org/wikipedia/commons/b/b0/Paukstelis.jpg
Lerka;Wood lark;Lullula arborea;Passeriformes;Alaudidae;https://upload.wikimedia.org/wikipedia/commons/f/fc/Lullula_arborea_%28Rodrigo_de_Almeida%29.jpg
Lodówka;Long-tailed duck;Clangula hyemalis;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/8/8e/Long-tailed-duck.jpg
Łabędź czarnodzioby;Tundra swan;Cygnus columbianus;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/4/4a/Cygnus_bewickii_01.jpg
Łabędź krzykliwy;Whooper swan;Cygnus cygnus;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/5/54/Singschwan.jpg
Łabędź niemy;Mute swan;Cygnus olor;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/d/de/Cygnus_olor_Adult_Lyngby_Denmark.jpg
Łęczak;Wood sandpiper;Tringa glareola;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/c/ce/Wood_Sandpiper_%28Non-breeding%29_near_Hodal_I_IMG_9633.jpg
Łozówka;Marsh warbler;Acrocephalus palustris;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/7/7d/Acrocephalus_palustris_%28Marek_Szczepanek%29.jpg
Łyska;Eurasian coot;Fulica atra;Gruiformes;Rallidae;https://upload.wikimedia.org/wikipedia/commons/2/23/Common_Coot_%28Fulica_atra%29_in_a_Nelumbo_nucifera_%28Indian_Lotus%29_pond_W_IMG_8846.jpg
Makolągwa;Eurasian linnet;Linaria cannabina;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/5/5d/Makol%C4%85gwa.jpg
Mandarynka;Mandarin duck;Aix galericulata;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/5/51/Mandarin.duck.arp.jpg
Markaczka;Common scoter;Melanitta nigra;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/a/a8/Melanitta_nigra.jpg
Mazurek;Eurasian tree sparrow;Passer montanus;Passeriformes;Passeridae;https://upload.wikimedia.org/wikipedia/commons/6/6b/Tree-Sparrow-2009-16-02.jpg
Mewa białogłowa;Caspian gull;Larus cachinnans;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/3/33/Larus_cachinnans_3_%28Marek_Szczepanek%29.jpg
Mewa czarnogłowa;Mediterranean gull;Ichthyaetus melanocephalus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/e/e7/Larus_melanocephalus_aka_Mediterranean_Gull_rare_guest_in_Sweden2.jpg
Mewa mała;Little gull;Hydrocoloeus minutus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/6/63/Littlegull75.jpg
Mewa romańska;Yellow-legged gull;Larus michahellis;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/f/fe/2004-04-10_Larus_michahellis_ad.jpg
Mewa siodłata;Great black-backed gull;Larus marinus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/1/1c/Great_Black-backed_Gull.jpg
Mewa siwa;Common gull;Larus canus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/c/ca/Sturmm%C3%B6we_-_Auenlandschaft_Hohenrode_HA_222_Landkreis_Schaumburg.jpg
Mewa srebrzysta;Herring gull;Larus argentatus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/4/4a/Larus_argentatus_argenteus01.jpg
Mewa trójpalczasta;Black-legged kittiwake;Rissa tridactyla;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/0/03/Bulbjerg_rider.jpg
Mewa żółtonoga;Lesser black-backed gull;Larus fuscus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/5/55/Larus-fuscus-graellsii-He.jpg
Modraszka;Eurasian Blue Tit;Cyanistes caeruleus;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/2/29/ParusCaeruleus.jpg
Mornel;Citril Finch;Charadrius morinellus;Charadriiformes;Charadriidae;https://upload.wikimedia.org/wikipedia/commons/b/bb/Charadrius_morinellus_male.jpg
Muchołówka białoszyja;Lanner Falcon;Ficedula albicollis;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/6/6f/Mucho%C5%82%C3%B3wka_bia%C5%82oszyja_%28samiec%29.jpg
Muchołówka mała;Azure Tit;Ficedula parva;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/2/2e/Ficedula_parva.jpg
Muchołówka szara;Marsh Tit;Muscicapa striata;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/3/30/SpottedFlycatcheronfence.jpg
Muchołówka żałobna;Coal Tit;Ficedula hypoleuca;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/e/e2/Trauerschn%C3%A4pper_auf_Esche_cutted.jpg
Mysikrólik;Demoiselle Crane;Regulus regulus;Passeriformes;Regulidae;https://upload.wikimedia.org/wikipedia/commons/1/12/Regulus_regulus_-Vendee%2C_France-8.jpg
Myszołów;Common buzzard;Buteo buteo;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/2/24/Myszo%C5%82%C3%B3w_Zwyczajny.jpg
Myszołów włochaty;Rough-legged hawk;Buteo lagopus;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/e/e4/Buteo_lagopus_29283.JPG
Nur czarnoszyi;Arctic loon;Gavia arctica;Gaviiformes;Gaviidae;https://upload.wikimedia.org/wikipedia/commons/b/b8/Gavia_arctica_%28Black-throated_Loon_or_Black-throated_Diver%29_on_nest.jpg
Nur rdzawoszyi;Red-throated loon;Gavia stellata;Gaviiformes;Gaviidae;https://upload.wikimedia.org/wikipedia/commons/d/d4/Juvenile_red_throated_diver.jpg
Nurnik;Black guillemot;Cepphus grylle;Charadriiformes;Alcidae;https://upload.wikimedia.org/wikipedia/commons/6/65/Tystie1.jpg
Nurogęś;Common merganser;Mergus merganser;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/b/be/Mergus_merganser_-Sandwell_-England_-male-8.jpg
Nurzyk;Common murre;Uria aalge;Charadriiformes;Alcidae;https://upload.wikimedia.org/wikipedia/commons/d/dd/Uria_aalge6.jpg
Ogorzałka;Greater scaup;Aythya marila;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/c/cd/Aythya_marila1.jpg
Ohar;Common shelduck;Tadorna tadorna;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/2/28/Common.shelduck.2.arp.750pix.jpg
Oknówka;Common house-martin;Delichon urbicum;Passeriformes;Hirundinidae;https://upload.wikimedia.org/wikipedia/commons/1/13/Delichon_urbica_NRM.jpg
Orlik grubodzioby;Greater spotted eagle;Clanga clanga;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/e/e4/Great_spotted_Eagle_I2_IMG_8358.jpg
Orlik krzykliwy;Lesser spotted eagle;Clanga pomarina;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/e/ec/Aquila_pomarina_orlik_krzykliwyAM-crop.jpg
Ortolan;Ortolan bunting;Emberiza hortulana;Passeriformes;Emberizidae;https://upload.wikimedia.org/wikipedia/commons/d/d3/Hortol%C3%A0_01_Emberiza_hortulana%29.jpg
Orzechówka;Eurasian nutcracker;Nucifraga caryocatactes;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/b/b8/Spotted_Nutcracker.jpg
Orzeł przedni;Golden eagle;Aquila chrysaetos;Accipitriformes;Accipitridae;https://upload.wikimedia.org/wikipedia/commons/8/84/Aquila_chrysaetos_Flickr.jpg
Ostrygojad;Eurasian oystercatcher;Haematopus ostralegus;Charadriiformes;Haematopodidae;https://upload.wikimedia.org/wikipedia/commons/5/51/Haematopus_ostralegus_He.jpg
Paszkot;Mistle thrush;Turdus viscivorus;Passeriformes;Turdidae;https://upload.wikimedia.org/wikipedia/commons/2/24/Turdus_viscivorus_1.jpg
Pełzacz leśny;Eurasian treecreeper;Certhia familiaris;Passeriformes;Certhiidae;https://upload.wikimedia.org/wikipedia/commons/2/23/Certhia_familiaris_-climbing_tree-8_%28cropped_version%29.jpg
Pełzacz ogrodowy;Short-toed treecreeper;Certhia brachydactyla;Passeriformes;Certhiidae;https://upload.wikimedia.org/wikipedia/commons/8/8b/Short-toed_Treecreeper_%28Certhia_brachydactyla%29_%28cropped_version%29.jpg
Perkoz dwuczuby;Great crested grebe;Podiceps cristatus;Podicipediformes;Podicipedidae;https://upload.wikimedia.org/wikipedia/commons/e/e4/Flickr_-_Rainbirder_-_Great_Crested_Grebe_%28Podiceps_cristatus%29.jpg
Perkoz rdzawoszyi;Red-necked grebe;Podiceps grisegena;Podicipediformes;Podicipedidae;https://upload.wikimedia.org/wikipedia/commons/c/cd/Podiceps_griseigena_3_%28Marek_Szczepanek%29.jpg
Perkoz rogaty;Horned grebe;Podiceps auritus;Podicipediformes;Podicipedidae;https://upload.wikimedia.org/wikipedia/commons/0/09/Podiceps_auritus1.jpg
Perkozek;Little grebe;Tachybaptus ruficollis;Podicipediformes;Podicipedidae;https://upload.wikimedia.org/wikipedia/commons/2/2f/Tachybaptus_ruficollis_ruficollis.jpg
Piaskowiec;Sanderling;Calidris alba;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/2/27/Calidris-alba-001.jpg
Piecuszek;Willow warbler;Phylloscopus trochilus;Passeriformes;Phylloscopidae;https://upload.wikimedia.org/wikipedia/commons/6/68/Willow_warbler_UK09.JPG
Piegża;Lesser whitethroat;Curruca curruca;Passeriformes;Sylviidae;https://upload.wikimedia.org/wikipedia/commons/a/ae/LBT120%28loz%29.jpg
Pierwiosnek;Common chiffchaff;Phylloscopus collybita;Passeriformes;Phylloscopidae;https://upload.wikimedia.org/wikipedia/commons/a/a6/Phylloscopus_collybita_%28taxobox%29.jpg
Pleszka;Common redstart;Phoenicurus phoenicurus;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/e/e6/Phoenicurus_phoenicurus_male%28js%29.jpg
Pliszka cytrynowa;Citrine wagtail;Motacilla citreola;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/1/1a/Citrine_wagtail_I_IMG_8326.jpg
Pliszka górska;Gray wagtail;Motacilla cinerea;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/7/74/Grey_Wagtail_%28Breeding_female%29_I_IMG_3079.jpg
Pliszka siwa;White wagtail;Motacilla alba;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/5/55/White-Wagtail.jpg
Pliszka żółta;Western yellow wagtail;Motacilla flava;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/e/e2/Motacilla_flava_in_Belarus.jpg
Pluszcz;White-throated dipper;Cinclus cinclus;Passeriformes;Cinclidae;https://upload.wikimedia.org/wikipedia/commons/6/64/Cinclus_cinclus_-Scotland-4-4c.jpg
Płaskonos;Northern shoveler;Spatula clypeata;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/4/4c/Anas_clypeata_2.jpg
Płatkonóg szydłodzioby;Red-necked phalarope;Phalaropus lobatus;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/1/14/Phalaropus_lobatus.jpg
Płochacz halny;Alpine accentor;Prunella collaris;Passeriformes;Prunellidae;https://upload.wikimedia.org/wikipedia/commons/4/46/Prunella_collaris_Pyrenees.jpg
Płomykówka;Barn owl;Tyto alba;Strigiformes;Tytonidae;https://upload.wikimedia.org/wikipedia/commons/3/3e/Tyto_alba_close_up.jpg
Podgorzałka;Ferruginous duck;Aythya nyroca;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/2/2d/Aythya_nyroca16.jpg
Podróżniczek;Bluethroat;Luscinia svecica;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/4/43/Luscinia_svecica_volgae.jpg
Pokląskwa;Whinchat;Saxicola rubetra;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/7/75/Saxicola_rubetra_2_tom_%28Marek_Szczepanek%29.jpg
Pokrzywnica;Dunnock;Prunella modularis;Passeriformes;Prunellidae;https://upload.wikimedia.org/wikipedia/commons/1/1c/Dunnock.jpg
Pomurnik;Wallcreeper;Tichodroma muraria;Passeriformes;Tichodromidae;https://upload.wikimedia.org/wikipedia/commons/f/f7/Tichodroma_muraria_NAUMANN.jpg
Poświerka;Lapland bunting;Calcarius lapponicus;Passeriformes;Calcariidae;https://upload.wikimedia.org/wikipedia/commons/5/56/Laplandbunting67.jpg
Potrzeszcz;Corn bunting;Emberiza calandra;Passeriformes;Emberizidae;https://upload.wikimedia.org/wikipedia/commons/6/6b/CornBunting02.jpg
Potrzos;Reed bunting;Emberiza schoeniclus;Passeriformes;Emberizidae;https://upload.wikimedia.org/wikipedia/commons/0/00/Reed_Bunting_male_and_female.jpg
Pójdźka;Little owl;Athene noctua;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/d/dd/Athene_noctua.jpg
Przepiórka;Common quail;Coturnix coturnix;Galliformes;Phasianidae;https://upload.wikimedia.org/wikipedia/commons/7/7d/Coturnix_coturnix_%28Lmbuga%29.jpg
Puchacz;Eurasian eagle-owl;Bubo bubo;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/8/8d/Bubo_bubo_winter_1.jpg
Pustułka;Eurasian kestrel;Falco tinnunculus;Falconiformes;Falconidae;https://upload.wikimedia.org/wikipedia/commons/2/24/Common_kestrel_falco_tinnunculus.jpg
Puszczyk;Tawny owl;Strix aluco;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/5/55/Strix_aluco_3_%28Martin_Mecnarowski%29.jpg
Puszczyk uralski;Ural owl;Strix uralensis;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/d/d0/Strix_uralensis.jpg
Raniuszek;Long-tailed tit;Aegithalos caudatus;Passeriformes;Aegithalidae;https://upload.wikimedia.org/wikipedia/commons/6/6c/Long-tailed_Tit_Aegithalos_caudatus.jpg
Remiz;Eurasian penduline-tit;Remiz pendulinus;Passeriformes;Remizidae;https://upload.wikimedia.org/wikipedia/commons/4/4f/Remiz_pendulinus_1_%28Martin_Mecnarowski%29.jpg
Rokitniczka;Sedge warbler;Acrocephalus schoenobaenus;Passeriformes;Acrocephalidae;https://upload.wikimedia.org/wikipedia/commons/5/54/Acrocephalus_schoenobaenus_1_%28Marek_Szczepanek%29-2.jpg
Rożeniec;Northern pintail;Anas acuta;Anseriformes;Anatidae;https://upload.wikimedia.org/wikipedia/commons/2/22/Northern_Pintail.jpg
Rudzik;European robin;Erithacus rubecula;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/d/d1/Erithacus-rubecula-melophilus_Dublin-Ireland.jpg
Rybitwa białoczelna;Little tern;Sternula albifrons;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/b/ba/Koajisashi_05a2432s.jpg
Rybitwa białoskrzydła;White-winged tern;Chlidonias leucopterus;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/1/11/ChlidoniasLeucopterus.jpg
Rybitwa białowąsa;Whiskered tern;Chlidonias hybrida;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/a/a4/Chlidonias_hybrida_3_%28Marek_Szczepanek%29.jpg
Rybitwa czarna;Black tern;Chlidonias niger;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/d/d4/Chlidonias_niger.jpg
Rybitwa czubata;Sandwich tern;Thalasseus sandvicensis;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/6/67/2021-07-10_Thalasseus_sandvicensis%2C_St_Marys_Island%2C_Northumberland_06.jpg
Rybitwa popielata;Arctic tern;Sterna paradisaea;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/c/c6/Sterna_paradisaea-Norderoog.jpg
Rybitwa rzeczna;Common tern;Sterna hirundo;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/f/f9/Sterna_hirundo_-_Common_Tern.jpg
Rybitwa wielkodzioba;Caspian tern;Hydroprogne caspia;Charadriiformes;Laridae;https://upload.wikimedia.org/wikipedia/commons/7/72/Sterna-caspia-010.jpg
Rybołów;Osprey;Pandion haliaetus;Accipitriformes;Pandionidae;https://upload.wikimedia.org/wikipedia/commons/5/5e/Osprey_mg_9605.jpg
Rycyk;Black-tailed godwit;Limosa limosa;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/4/47/Limosa_limosa_%28Uitkerke%29.jpg
Rzepołuch;Twite;Linaria flavirostris;Passeriformes;Fringillidae;https://upload.wikimedia.org/wikipedia/commons/5/53/Carduelis_flavirostris.jpg
Samotnik;Green sandpiper;Tringa ochropus;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/3/3c/Tringa_ochropus_1_%28Marek_Szczepanek%29.jpg
Sierpówka;Eurasian collared-dove;Streptopelia decaocto;Columbiformes;Columbidae;https://upload.wikimedia.org/wikipedia/commons/f/fb/Collared.dove.jpg
Sieweczka obrożna;Common ringed plover;Charadrius hiaticula;Charadriiformes;Charadriidae;https://upload.wikimedia.org/wikipedia/commons/8/87/Sieweczka.jpg
Sieweczka rzeczna;Little ringed plover;Charadrius dubius;Charadriiformes;Charadriidae;https://upload.wikimedia.org/wikipedia/commons/4/49/Charadrius_dubius_4_%28Marek_Szczepanek%29.jpg
Siewka złota;European golden-plover;Pluvialis apricaria;Charadriiformes;Charadriidae;https://upload.wikimedia.org/wikipedia/commons/5/50/Goldregenpfeifer.jpg
Siewnica;Black-bellied plover;Pluvialis squatarola;Charadriiformes;Charadriidae;https://upload.wikimedia.org/wikipedia/commons/a/aa/Pluvialis_squatarola_%28summer_plumage%29.jpg
Sikora uboga;Marsh Tit;Poecile palustris;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/f/fd/Sumpfmeise1.jpg
Siniak;Stock dove;Columba oenas;Columbiformes;Columbidae;https://upload.wikimedia.org/wikipedia/commons/a/a6/ColumbaOenas.jpg
Siwerniak;Water pipit;Anthus spinoletta;Passeriformes;Motacillidae;https://upload.wikimedia.org/wikipedia/commons/0/00/Anthus_spinoletta.jpg
Skowronek;Eurasian skylark;Alauda arvensis;Passeriformes;Alaudidae;https://upload.wikimedia.org/wikipedia/commons/d/d8/Alauda_arvensis_2.jpg
Słonka;Eurasian woodcock;Scolopax rusticola;Charadriiformes;Scolopacidae;https://upload.wikimedia.org/wikipedia/commons/1/1c/Woodcock_earthworm.jpg
Słowik rdzawy;Common nightingale;Luscinia megarhynchos;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/8/83/Luscinia_megarhynchos_Istria_01.jpg
Słowik szary;Thrush nightingale;Luscinia luscinia;Passeriformes;Muscicapidae;https://upload.wikimedia.org/wikipedia/commons/e/e8/Thrush_Nightingale_by_Daniel_Bastaja.jpg
Sokół wędrowny;Peregrine falcon;Falco peregrinus;Falconiformes;Falconidae;https://upload.wikimedia.org/wikipedia/commons/e/ed/Peregrine_Falcon_Kobble_Apr07.JPG
Sosnówka;Coal Tit;Periparus ater;Passeriformes;Paridae;https://upload.wikimedia.org/wikipedia/commons/3/30/Parus_ater01.jpg
Sójka;Eurasian jay;Garrulus glandarius;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/6/6d/Garrulus_glandarius_1_Luc_Viatour.jpg
Sóweczka;Eurasian pygmy-owl;Glaucidium passerinum;Strigiformes;Strigidae;https://upload.wikimedia.org/wikipedia/commons/c/c8/Glaucidium_passerinum_20110413.jpg
Sroka;Eurasian magpie;Pica pica;Passeriformes;Corvidae;https://upload.wikimedia.org/wikipedia/commons/6/6d/Korean_magpie_in_Daejeon_facing_away.jpg
Srokosz;Great gray shrike;Lanius excubitor;Passeriformes;Laniidae;https://upload.wikimedia.org/wikipedia/commons/4/44/Lanius_excubitor_1_%28Marek_Szczepanek%29.jpg
Strumieniówka;River warbler;Locustella fluviatilis;Passeriformes;Locustellidae;https://upload.wikimedia.org/wikipedia/commons/d/de/Flodsangare.jpg
Strzyżyk;Eurasian wren;Troglodytes troglodytes;Passeriformes;Troglodytidae;https://upload.wikimedia.org/wikipedia/commons/8/83/Zaunkoenig-photo.jpg
